;author;year;avgsentlen
DEU044;Dahn, Felix;1876;13.396800501882058
DEU076;Wassermann, Jakob;1907;16.807583909812966
DEU070;Fontane, Theodor;1882;15.421886514369934
DEU015;Arnim, Bettina von;1840;25.653337969401946
DEU012;Aston, Louise;1847;20.130993150684933
DEU100;Ebner-Eschenbach, Marie von;1903;14.198386012104908
DEU004;Otto, Louise;1858;26.23139598044541
DEU061;Bleibtreu, Karl;1888;11.590909090909092
DEU026;Vischer, Friedrich Theodor;1879;14.208833151581244
DEU032;Meyer, Conrad Ferdinand;1876;19.090258449304176
DEU052;Spyri, Johanna;1880;22.053809728798967
DEU093;Christ, Lena;1920;12.161605584642233
DEU001;Willkomm, Ernst Adolf;1845;16.36679693036629
DEU002;Auerbach, Berthold;1854;20.518572469045885
DEU042;Möllhausen, Balduin;1865;29.167693255312596
DEU008;Auerbach, Berthold;1843;18.288951841359772
DEU006;Weerth, Georg;1846;25.52113376429637
DEU068;Spitteler, Carl;1898;13.68592057761733
DEU060;Janitschek, Maria;1897;10.552459988144635
DEU063;Dohm, Hedwig;1894;12.86456628477905
DEU016;Gerstäcker, Friedrich;1846;21.38773131283695
DEU065;Spielhagen, Friedrich;1897;14.969069462647445
DEU055;Bahr, Hermann;1890;17.94780863164938
DEU007;Stifter, Adalbert;1841;26.94083969465649
DEU098;Reventlow, Franziska Gräfin zu;1913;17.748812664907653
DEU049;Raabe, Wilhelm;1863;19.592615575550727
DEU069;Kretzer, Max;1888;17.86031092821216
DEU087;Heyking, Elisabeth von;1903;19.785127362366474
DEU050;Raabe, Wilhelm;1867;24.8619736282433
DEU079;Rilke, Rainer Maria;1910;17.715352449223417
DEU074;Boy-Ed, Ida;1889;16.64760543245175
DEU057;Dohm, Hedwig;1896;12.687075903424333
DEU035;Fontane, Theodor;1878;15.182167380515331
DEU025;Kürnberger, Ferdinand;1855;16.260199412359714
DEU058;Ebner-Eschenbach, Marie von;1880;15.279927173418297
DEU089;Wille, Bruno;1909;13.464412004714843
DEU097;Keyserling, Eduard von;1911;15.375346260387811
DEU088;Fontane, Theodor;1906;14.285962624945675
DEU005;Kurz, Hermann;1854;19.31014743208943
DEU030;Freytag, Gustav;1864;17.843219650361014
DEU041;Marlitt, Eugenie;1867;21.80661764705882
DEU020;Hahn-Hahn, Ida Gräfin von;1846;18.52045908183633
DEU062;Polenz, Wilhelm von;1895;12.501555825114709
DEU043;Spielhagen, Friedrich;1869;23.866098789798993
DEU073;Dohm, Hedwig;1899;13.649797570850202
DEU031;Raabe, Wilhelm;1869;24.24261339991677
DEU096;Meyrink, Gustav;1913;14.355672184093661
DEU072;Raabe, Wilhelm;1887;20.31021625652498
DEU014;Tieck, Ludwig;1840;22.411816578483243
DEU033;François, Louise von;1868;19.8128078817734
DEU023;Stifter, Adalbert;1841;27.428571428571427
DEU003;Ruppius, Otto;1857;27.872166480862134
DEU095;Ball, Hugo;1918;9.80687887203589
DEU017;Stifter, Adalbert;1843;29.350877192982455
DEU056;Conradi, Hermann;1889;12.68123566707136
DEU047;François, Louise von;1862;19.460843373493976
DEU029;Raabe, Wilhelm;1879;20.303785103785103
DEU019;Stifter, Adalbert;1846;22.470801267541873
DEU046;Fontane, Theodor;1879;13.37658616455178
DEU099;Christ, Lena;1914;19.83871890191593
DEU034;Vischer, Friedrich Theodor;1879;21.640318302387268
DEU018;Schopenhauer, Adele;1845;17.634901960784315
DEU038;Raabe, Wilhelm;1863;22.95249558658321
DEU045;Stifter, Adalbert;1865;17.825849514563107
DEU084;May, Karl;1909;13.142377906069589
DEU036;Keller, Gottfried;1879;27.49330968886023
DEU054;May, Karl;1899;14.409865555765954
DEU086;Meysenbug, Malwida Freiin von;1905;22.54031538232669
DEU010;Aston, Louise;1848;15.088014418744368
DEU009;Ruppius, Otto;1859;25.191098661686897
DEU048;Freytag, Gustav;1872;19.982750523034884
DEU021;Lewald, Fanny;1843;24.036175056918797
DEU059;Fontane, Theodor;1887;14.342134519177321
DEU075;Janitschek, Maria;1896;10.854231599136897
DEU081;May, Karl;1904;14.269994234412321
DEU027;Ebner-Eschenbach, Marie von;1876;15.018434282978214
DEU092;Sudermann, Hermann;1917;13.837145783543871
DEU053;Fontane, Theodor;1884;16.045295227824212
DEU037;Marlitt, Eugenie;1871;19.85139467778134
DEU080;Keyserling, Eduard von;1907;9.581615963362774
DEU085;Ganghofer, Ludwig;1914;10.56637915435189
DEU028;François, Louise von;1871;19.315645973154364
DEU024;Gutzkow, Karl;1858;15.956586030084466
DEU071;Fontane, Theodor;1887;15.0089358245329
DEU078;Essig, Hermann;1919;11.330712250712251
DEU077;Reventlow, Franziska Gräfin zu;1903;17.59370529327611
DEU051;Fontane, Theodor;1885;13.731543624161073
DEU064;Christen, Ada;1892;19.478670634920636
DEU039;Spielhagen, Friedrich;1861;20.045034642032334
DEU013;Auerbach, Berthold;1856;18.800238521168755
DEU091;Schnitzler, Arthur;1918;22.312267657992564
DEU090;Reventlow, Franziska Gräfin zu;1912;16.673550436854647
DEU040;Marlitt, Eugenie;1866;22.26481069042316
DEU083;Sack, Gustav;1913;27.543091655266757
DEU066;Fontane, Theodor;1897;13.429618320610688
DEU011;Freytag, Gustav;1855;18.62086911267239
DEU094;Schnitzler, Arthur;1907;14.013429997623009
DEU022;Arnim, Bettina von;1844;21.411284681743997
DEU067;Ganghofer, Ludwig;1895;10.579649489929375
DEU082;Braun, Lily;1915;15.8495599559956
