;EISSN;title;publisher-country;APC;APC-amount;CCBY;domain;APC-EUR
17378;2666-979X;Cell Genomics;United States;True;8900 USD;False;Science;7937.91
7239;2087-751X;Jurnal Teknologi dan Industri Pangan;Indonesia;True;100000000 IDR;False;Technology;6091.0
3404;2460-0008;Tsaqafah;Indonesia;True;100000000 IDR;False;Humanities;6091.0
10150;2193-651X;Pain and Therapy;United Kingdom;True;"6000 USD; 5250 EUR; 4300 GBP";False;Medicine;5351.400000000001
10232;2198-6584;Rheumatology and Therapy;United Kingdom;True;"6000 USD; 5250 EUR; 4300 GBP";False;Medicine;5351.400000000001
10149;2193-6382;Infectious Diseases and Therapy;United Kingdom;True;"5250 EUR; 6000 USD; 4300 GBP";False;Medicine;5250.0
10148;2190-9172;Dermatology and Therapy;United Kingdom;True;"5250 EUR; 6000 USD; 4300 GBP";False;Medicine;5250.0
16054;2589-7500;The Lancet: Digital Health;United Kingdom;True;5500 USD;False;Medicine;4905.45
4187;1545-7885;PLoS Biology;United States;True;5300 USD;True;Science;4727.07
4201;1549-1676;PLoS Medicine;United States;True;5300 USD;True;Medicine;4727.07
113;1558-8238;The Journal of Clinical Investigation;United States;True;5200 USD;True;Medicine;4637.88
17420;2667-2375;Cell Reports: Methods;United States;True;5200 USD;False;Science;4637.88
17265;2666-3864;Cell Reports Physical Science;United States;True;5200 USD;False;Science;4637.88
17266;2666-3899;Patterns;United States;True;5200 USD;False;Science;4637.88
16889;2641-6573;Advanced Genetics;United States;True;"5200 USD; 3900 GBP; 4400 EUR";True;Science;4637.88
10299;2211-1247;Cell Reports;Netherlands;True;5200 USD;False;Science;4637.88
12961;2366-1089;Oncology and Therapy;United Kingdom;True;"5100 USD; 4500 EUR; 3650 GBP";False;Medicine;4548.6900000000005
10153;2193-6544;Cardiology and Therapy;United Kingdom;True;"4500 EUR; 5100 USD; 3650 GBP";False;Medicine;4500.0
18487;2770-596X;iMeta;Australia;True;"4496 EUR; 3807 GBP; 4500 USD";True;Medicine;4496.0
14256;2468-2667;The Lancet Public Health;United Kingdom;True;5000 USD;False;Medicine;4459.5
5541;1744-4292;Molecular Systems Biology;United Kingdom;True;"5000 USD; 3960 GBP; 4500 EUR";True;Science;4459.5
17324;2666-6758;The Innovation;United States;True;5000 USD;False;Science;4459.5
16904;2643-8429;Food Frontiers;Australia;True;5000 USD;False;Technology;4459.5
15421;2542-5196;The Lancet Planetary Health;United Kingdom;True;5000 USD;False;SocialSciences;4459.5
17946;2698-6248;Natural Sciences;Germany;True;"5000 USD; 3750 GBP; 4250 EUR";True;Science;4459.5
17832;2688-4046;Small Science;Germany;True;"5000 USD; 3300 GBP; 4163 EUR";True;Technology;4459.5
10226;2198-3844;Advanced Science;Germany;True;5000 USD;True;Science;4459.5
17912;2694-2518;ACS Environmental Au;United States;True;5000 USD;False;SocialSciences;4459.5
10365;2214-109X;The Lancet Global Health;United Kingdom;True;5000 USD;False;Medicine;4459.5
17911;2694-250X;ACS Measurement Science Au;United States;True;5000 USD;False;Science;4459.5
17910;2694-2496;ACS Nanoscience Au;United States;True;5000 USD;False;Technology;4459.5
17290;2666-5247;The Lancet Microbe;United Kingdom;True;5000 USD;False;Science;4459.5
17909;2694-2488;ACS Engineering Au;United States;True;5000 USD;False;Technology;4459.5
17877;2691-3704;JACS Au;United States;True;5000 USD;False;Science;4459.5
17908;2694-247X;ACS Organic & Inorganic Au;United States;True;5000 USD;False;Science;4459.5
17907;2694-2461;ACS Materials Au;United States;True;5000 USD;False;Technology;4459.5
17905;2694-2445;ACS Physical Chemistry Au;United States;True;5000 USD;False;Science;4459.5
5682;1757-4684;EMBO Molecular Medicine;United Kingdom;True;"5000 USD; 3960 GBP; 4500 EUR";True;Science;4459.5
17335;2666-7568;The Lancet. Healthy Longevity;United Kingdom;True;5000 USD;False;Medicine;4459.5
17904;2694-2437;ACS Bio & Med Chem Au;United States;True;5000 USD;False;Science;4459.5
17906;2694-2453;ACS Polymers Au;United States;True;5000 USD;False;Technology;4459.5
18448;2766-2098;Exploration;Australia;True;"4500 USD; 3550 GBP; 4050 EUR";True;Technology;4013.55
13057;2375-2548;Science Advances;United States;True;4500 USD;False;Science;4013.55
4171;1538-4357;The Astrophysical Journal;United Kingdom;True;4499 USD;True;Science;4012.6581
298;1538-4365;The Astrophysical Journal Supplement Series;United Kingdom;True;4499 USD;True;Science;4012.6581
29;1538-3881;The Astronomical Journal;United Kingdom;True;4499 USD;True;Science;4012.6581
9729;2160-3308;Physical Review X;United States;True;4200 USD;True;Science;3745.98
13094;2379-3708;JCI Insight;United States;True;4100 USD;True;Medicine;3656.79
18406;2752-6542;PNAS Nexus;United Kingdom;True;4000 USD;False;SocialSciences;3567.6
17839;2688-819X;SmartMat;Australia;True;4000 USD;True;Technology;3567.6
17968;2703-3090;Megataxa;New Zealand;True;4000 USD;False;Science;3567.6
17886;2692-4560;Aggregate;Australia;True;4000 USD;True;Science;3567.6
17830;2688-268X;View;Australia;True;4000 USD;True;Medicine;3567.6
18453;2767-1402;International Journal of Mechanical System Dynamics;Australia;True;4000 USD;True;Technology;3567.6
9743;2162-2531;Molecular Therapy: Nucleic Acids;United States;True;3900 USD;False;Medicine;3478.4100000000003
7709;2001-3078;Journal of Extracellular Vesicles;United States;True;"3850 USD; 3000 GBP; 3450 EUR";False;Science;3433.815
2386;1098-2825;Journal of Clinical Laboratory Analysis;China;True;"3850 USD; 2420 GBP; 2805 EUR";False;Medicine;3433.815
8399;2056-6387;npj Quantum Information;United Kingdom;True;3790 USD;True;Science;3380.301
16083;2590-0420;The Journal of Pediatrics: X;United States;True;3750 USD;False;Medicine;3344.625
8204;2047-9980;Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease;United States;True;3700 USD;False;Medicine;3300.03
14382;2475-2991;Current Developments in Nutrition;United Kingdom;True;3630 USD;False;Medicine;3237.597
1192;1362-4962;Nucleic Acids Research;United Kingdom;True;3630 USD;False;Science;3237.597
13383;2399-5300;Innovation in Aging;United Kingdom;True;3615 USD;False;Medicine;3224.2185
17344;2666-7924;Advances in Applied Energy;United Kingdom;True;3600 USD;False;SocialSciences;3210.84
4317;1878-0261;Molecular Oncology;United Kingdom;True;3600 USD;True;Medicine;3210.84
4770;1662-8128;Journal of Innate Immunity;Switzerland;True;"3590 USD; 3080 EUR; 3290 CHF";False;Medicine;3201.9210000000003
4753;1662-4033;Obesity Facts;Switzerland;True;"3590 USD; 3080 EUR; 3290 CHF";False;Medicine;3201.9210000000003
10738;1664-5553;Liver Cancer;Switzerland;True;"3590 USD; 3080 EUR; 3290 CHF";False;Medicine;3201.9210000000003
6658;1883-2148;Journal of Arrhythmia;Australia;False;"3150 EUR; 2200 GBP; 3388 USD";False;Medicine;3150.0
8368;2055-5822;ESC Heart Failure;United Kingdom;True;"3150 EUR; 2250 GBP; 3366 USD";False;Medicine;3150.0
13098;2379-5077;mSystems;United States;True;3500 USD;True;Science;3121.65
15776;2575-1077;Life Science Alliance;United States;True;3500 USD;True;Science;3121.65
