	acd006	acd012	acd011	acd001	acd010	acd007	acd005	acd004	acd002	acd009	acd008	acd003	totals
the	7822.0	1625.0	3002.0	2321.0	4181.0	2630.0	7215.0	9145.0	3076.0	648.0	1845.0	2159.0	45669.0
and	3975.0	739.0	1367.0	1320.0	2032.0	1452.0	3908.0	5259.0	1516.0	442.0	1047.0	1165.0	24222.0
of	3625.0	863.0	1425.0	1194.0	2505.0	1360.0	3345.0	4788.0	1581.0	427.0	1020.0	1105.0	23238.0
to	3411.0	661.0	1279.0	1078.0	1708.0	1229.0	2659.0	3148.0	1382.0	467.0	950.0	1085.0	19057.0
a	3258.0	635.0	1284.0	967.0	1806.0	1081.0	2699.0	3436.0	1230.0	361.0	950.0	1040.0	18747.0
I	1817.0	565.0	1291.0	935.0	1710.0	1282.0	1675.0	2147.0	1501.0	899.0	928.0	1236.0	15986.0
in	2123.0	511.0	878.0	672.0	1151.0	752.0	1755.0	2007.0	868.0	219.0	560.0	647.0	12143.0
that	1788.0	418.0	980.0	619.0	1042.0	749.0	1449.0	1746.0	1081.0	292.0	475.0	583.0	11222.0
his	1905.0	275.0	678.0	611.0	632.0	441.0	1775.0	2020.0	661.0	47.0	522.0	455.0	10022.0
was	1810.0	321.0	806.0	647.0	1071.0	583.0	1426.0	1201.0	793.0	197.0	389.0	567.0	9811.0
it	1445.0	412.0	887.0	452.0	922.0	511.0	1234.0	1376.0	786.0	249.0	511.0	511.0	9296.0
he	1634.0	195.0	740.0	630.0	537.0	421.0	1180.0	1447.0	722.0	66.0	429.0	476.0	8477.0
you	1250.0	242.0	923.0	365.0	544.0	405.0	1271.0	1332.0	714.0	183.0	467.0	434.0	8130.0
with	1149.0	239.0	441.0	313.0	649.0	392.0	1218.0	1760.0	422.0	157.0	314.0	374.0	7428.0
had	1063.0	206.0	551.0	470.0	637.0	388.0	1179.0	995.0	502.0	130.0	324.0	353.0	6798.0
is	844.0	287.0	490.0	288.0	464.0	337.0	1042.0	1287.0	603.0	210.0	369.0	447.0	6668.0
as	1150.0	226.0	361.0	298.0	568.0	401.0	909.0	1132.0	377.0	132.0	246.0	305.0	6105.0
have	781.0	197.0	403.0	276.0	496.0	396.0	820.0	1060.0	526.0	200.0	304.0	335.0	5794.0
for	886.0	167.0	458.0	302.0	450.0	408.0	809.0	1224.0	403.0	111.0	256.0	279.0	5753.0
which	872.0	204.0	307.0	315.0	644.0	343.0	748.0	844.0	417.0	98.0	280.0	238.0	5310.0
at	920.0	172.0	343.0	289.0	433.0	288.0	810.0	882.0	335.0	116.0	196.0	311.0	5095.0
my	357.0	176.0	223.0	274.0	546.0	466.0	539.0	919.0	421.0	287.0	214.0	323.0	4745.0
be	819.0	189.0	303.0	246.0	415.0	312.0	652.0	765.0	328.0	104.0	262.0	260.0	4655.0
from	593.0	136.0	239.0	172.0	335.0	240.0	684.0	963.0	269.0	82.0	172.0	154.0	4039.0
not	484.0	107.0	301.0	170.0	336.0	225.0	687.0	768.0	359.0	116.0	239.0	182.0	3974.0
upon	510.0	162.0	146.0	195.0	406.0	203.0	608.0	929.0	313.0	70.0	157.0	192.0	3891.0
him	664.0	55.0	363.0	271.0	200.0	196.0	626.0	724.0	315.0	48.0	185.0	212.0	3859.0
s	1023.0	148.0	421.0	191.0	252.0	218.0	482.0	549.0	231.0	47.0	124.0	167.0	3853.0
said	752.0	173.0	323.0	207.0	297.0	180.0	445.0	628.0	240.0	57.0	146.0	224.0	3672.0
me	479.0	113.0	276.0	212.0	328.0	298.0	420.0	461.0	326.0	264.0	156.0	226.0	3559.0
