"Broughton_ENG18830" "Broughton_ENG18871" "Broughton_ENG18901" "Dickens_ENG18481" "Dickens_ENG18530" "Dickens_ENG18540" "Disraeli_ENG18440" "Disraeli_ENG18450" "Disraeli_ENG18800" "Eliot_ENG18610" "Eliot_ENG18660" "Eliot_ENG18721" "Nesbit_ENG18890" "Nesbit_ENG19020" "Nesbit_ENG19060" "Ouida_ENG18670" "Ouida_ENG18740" "Ouida_ENG18831" "Trollope_ENG18551" "Trollope_ENG18650" "Trollope_ENG18742" "Ward_ENG18880" "Ward_ENG18951" "Ward_ENG19091" "Wells_ENG18952" "Wells_ENG19090" "Wells_ENG19120" "Yonge_ENG18531" "Yonge_ENG18560" "Yonge_ENG18651"
"the" 4.19740883256257 4.18758199760424 4.31477857175368 4.69293098630903 4.12565358121006 4.06219225816226 5.8195865655688 5.84722848129788 4.96174141716047 4.92570950459508 4.64808078206655 3.88644017432647 4.48856190603944 4.95170497346703 6.38342461160165 6.23204780356617 5.96359183967445 7.13398320506013 5.2890512142604 3.65340581194035 5.24411863351061 5.7045821844559 5.27943989905157 5.16016082847436 6.91241431835491 4.32526951646001 4.38781375742479 3.71361265354198 3.80799071093049 4.11769240444187
"and" 2.46125604546899 2.7586846158234 2.22631130646241 3.86392847164012 3.51951752565911 3.17778956139686 3.14795251817449 3.45188022632818 3.9144814962842 3.22667710287311 2.89358186052002 2.65946909667195 2.96864197785643 3.83179603930562 3.76243433553146 3.26620571128492 4.76799250949817 4.48277461891776 3.26664667884107 2.49858828055674 2.93948541037804 3.17551430416466 2.84120975292058 3.2047002269996 3.79284082254379 4.07237203387381 4.16911682116405 3.23573952549218 3.53617987016414 3.424310167848
"to" 2.75708687824337 2.60324567908277 2.84725969947398 2.64431405420509 2.82457741997953 2.81039315203394 2.49660888752758 2.32837614541085 2.65811713324181 2.96622177838356 3.03040058375989 3.15100039619651 3.08730510870575 2.38378224550948 2.12641108751537 2.10254533302568 2.153519275438 2.1986009371762 3.15625936929325 3.22678729886876 2.79814096114225 2.53521800483126 2.45044164936704 2.51628314119969 2.11728865194212 2.26740657244429 2.5774524119431 3.2050311290594 3.08129255291075 3.08147342710966
"of" 2.43301443852155 2.37579145513662 2.73607417569914 2.5378597373568 2.34569950479985 2.44299674267101 3.72115991673803 3.3874117470332 3.17421701681524 2.14841904967544 2.8318792990589 2.74335132725832 2.38770856335063 2.05400338148886 2.34296412205208 3.36486819805699 2.34258242252912 3.47858361642791 2.84690234130121 2.17125553052727 2.27348953092808 3.37231828944536 2.11259005983637 2.78185783593715 3.53389185072353 3.2313072632157 3.2989540868577 2.24844354703012 2.09399904998153 2.29315178538826
"a" 2.12023864157871 2.28452455649991 2.16454157103194 2.02179379715004 2.13434033253105 2.14756457844103 2.57912074860761 2.5618396675179 2.40556993993316 2.28067097610019 2.55019369238859 2.27410608161648 2.05545179697254 2.15611764902824 1.96713982340449 2.47252965842092 2.08149521940328 2.21767438024197 1.83297446101011 1.57305880819852 2.13454075032342 2.27930448924924 2.24284609435422 2.33379326716221 2.48591012947449 2.64097228243591 2.60520247636289 1.65867407033485 1.6499973610598 1.68862309461888
"i" 1.44808839622975 1.80822542923963 1.37648978848742 1.32914221849679 2.62013445099178 2.10968865995 0.795739387536958 1.47901957838866 1.52918484021756 1.37649964237999 1.34833510392858 1.46840332805071 1.87590932073096 3.41329494283275 1.50329719459037 0.83027665279557 1.00113437888255 0.401573301303696 0.903540570743275 2.20662608361102 1.30324373532653 0.939944033866686 0.972849757805186 1.20918087268735 3.85681645087586 3.23347495592358 0.9560557908438 1.61240114420326 1.75654457170001 1.60910119972573
"in" 1.5052776502983 1.49306941988478 1.50718154450347 1.76753283039955 1.73403048662406 1.69210665858647 1.73399926239397 1.58229432677382 1.6693601172375 1.46421775684539 1.60587623002715 1.6370963748019 1.39816123739849 1.4563838157256 1.31887783614619 1.69675607291476 1.77719358265661 1.88105388505415 1.40369047943525 1.40241140296989 1.33199175889991 1.7049511919283 1.36768836243742 1.66021275648729 1.65422696115765 1.72403826700194 1.44234263400969 1.33097762073027 1.26141341637199 1.28655065666422
"he" 1.06259046139725 1.03602190405567 1.82318250681093 1.26068734283319 1.28669045840595 1.31524126960079 1.40270163836051 1.01209253417455 1.4660480418904 1.45342168121888 1.45564390646965 1.5485712163233 1.99250874495682 0.366606960510237 0.82988711299877 1.6625424686309 1.13798008534851 1.2382273038915 2.24181634822426 1.98137150870922 2.26630252503474 1.49926369342313 1.90092400374486 1.37535051408733 0.374714394516375 0.853348362669441 1.53880714365944 1.91275450109372 1.33992188737003 1.13237555432035
"that" 1.53210717689837 1.32907421139695 1.72890238431179 1.44369935736239 1.39568982211525 1.29440951443073 1.43583140076386 1.25244103950729 1.15036405025457 1.39944130308633 1.58334138149352 1.60521493660856 1.41879830363316 0.977618561360631 1.23924220409076 1.40594043650194 1.31443902263356 1.23616531004655 1.63127912998446 2.23268859640958 1.71769440850942 0.905776675311008 0.704196686612122 1.14241628462486 1.34348819497334 1.38298794762854 1.34984241927704 1.29269729093051 1.34190109252124 1.46101195668491
"it" 1.64577964486179 1.1964519993155 1.44801264003849 1.22380553227158 1.50994550031815 1.35406408605409 0.862624002200316 0.98017124831005 1.12777381966045 1.36435405730017 1.01997016815289 1.09108805467512 1.38887455759289 1.85144885079599 2.04258410640438 0.967131069931016 1.1829951203702 1.03924489785398 1.0439096186868 1.42754311173992 1.22897800776197 1.1753571343153 1.5834249196076 1.31897152861234 1.32825590251333 1.41116795283101 1.3551281458332 1.62544169611307 1.58930173642265 1.38717019714127
