,HoundBaskervilles,LostWorld,MysteryCloomber,PoisonBelt,RafflesHaw,Refugees,SignFour,StudyScarlet,ValleyFear,WhiteCompany
0_brother-lady-woman,0.0294258347401859,0.000667478346058689,0.00397976582169099,0.000724823333101461,0.0192145279465241,0.00920171520681945,0.000839576266038539,0.000789574565992559,0.00469077145219101,0.000693673669473486
1_road-clerk-brother,0.00026446440955141,0.000230821793425547,0.000241646202215521,0.00023165186859689,0.000253154119384179,0.000234178305912713,0.000253533914031989,0.000243933024630547,0.000259144721035678,0.000336953990932747
2_river-expedition-half-breed,0.000148304454966528,0.00672069750972979,0.000139607047846582,0.000129770660477897,0.000151669781422369,0.000134016567594245,0.000146827156497246,0.000148006143727737,0.000149820455551846,0.000130690780404563
3_mountain-child-mormon,0.000138161077340457,0.000125739797893201,0.000132413560317897,0.000127111138946504,0.000142093664674171,0.00012804210590804,0.000137077772707028,0.000164097886369247,0.000140099201289014,0.000123956718525484
4_head-shoulder-air,0.0101283810513588,0.0218298970418843,0.030306520572563,0.0229948898877171,0.0290347396112332,0.0382079804646214,0.0252398412688222,0.0259491860482835,0.0162019627282866,0.0590797049569751
5_archer-bowman-shaft,0.000248310298765198,0.000224185966956856,0.000237872880601732,0.000224185966956856,0.000244995222300639,0.000226630979794586,0.000248294542493958,0.000240627384719413,0.000249787859032015,0.00374146676204909
6_general-sister-avenue,0.000139929335770544,0.000123374754400322,0.0562248938157795,0.000122062598368058,0.000140491023664099,0.000124493624539225,0.00013498315633199,0.000130382736210863,0.000138513421273756,0.000122062598368058
7_lady-castle-wood,0.00018931095630355,0.000167899663521542,0.00018205081969082,0.000168494897550242,0.000186783552894002,0.000174048182089114,0.000189298943774102,0.000183453527866476,0.00019043744339852,0.000179640503565687
8_ring-house-room,0.000191227997399655,0.000166901812564627,0.000176392353528383,0.000163964159214826,0.000191633517912556,0.000169637739339975,0.000187004541901677,0.000179786333876869,0.00198558105175544,0.00016512672315337
9_father-daughter-son,0.00045519664141262,0.000394818978506933,0.000553425085462681,0.000400560268407948,0.000518039382155281,0.000453323715466711,0.000496157930619333,0.0218945420682482,0.000443265137690617,0.000407976036215767
10_case-cab-name,0.014620326268824,0.000413602120152022,0.000600067350763893,0.000419616546521411,0.00255850033752449,0.000425025947376294,0.0753179770532728,0.170577700178521,0.00056164281737302,0.000409203241957269
11_point-fact-reason,0.114349567461434,0.0989735053767058,0.0920054511268534,0.106584899547547,0.0722986035612272,0.0133989978380706,0.0624375925723806,0.096169227149618,0.0628411896052148,0.00518588170558475
12_world-life-death,0.000169520207934405,0.00015758424854397,0.000162394634383216,0.228815125662717,0.000172956594431664,0.000154719844526,0.00016685124417088,0.000164911664940155,0.000170528930991451,0.000150880279865068
13_hand-friend-word,0.244150714757165,0.142677235579193,0.191582138151281,0.149929710276509,0.1976778208762,0.106280981113664,0.19389294325521,0.189051299664265,0.254968156275743,0.0650786165007485
14_launch-river-boat,8.27012882043184E-05,7.49963840902349E-05,7.92609049148145E-05,7.41987577179653E-05,8.43695307643678E-05,7.48624970550425E-05,8.40294316494976E-05,7.86606103271252E-05,8.4198795726008E-05,7.41987577179653E-05
15_canoe-river-wood,0.000221288262390165,0.000195108372906375,0.000204257997624833,0.000191674253429568,0.000213985376313806,0.00362262469876684,0.000224004593262176,0.000210170390210324,0.000218171393350662,0.00019337667770551
16_father-buddhist-mate,0.000117520098066488,0.000105722357831165,0.00974091592377329,0.000104970081933075,0.000121388420184779,0.000107455404495539,0.000117512640951135,0.000111727641199302,0.000117982553620419,0.000104413190282553
17_train-beard-policeman,0.000159523860531555,0.000150348466296634,0.000149774777825302,0.074062741566754,0.000160164202463433,0.000142696403899425,0.000154490731572702,0.000151509129556364,0.000162160176431988,0.000139155215816327
18_ice-berg-cave,6.01450430028326E-05,5.41071345474778E-05,5.66444934948465E-05,5.31547901564306E-05,5.93420742274329E-05,5.48939375181077E-05,5.91981061019981E-05,5.67507390947754E-05,6.05029336188435E-05,5.35316764375097E-05
