idno	univ	year	public_support_research	lecture_community_science	conference_ceremony_scientific	held_students_scientists	including_years_new	world_development_data	share_donation_team	international_staff_work	education_members_award	visit_education_technology	issues_generous_engineering	lectures_campus_theory	more_service_first	scholars_today_such	participants_services_applications	chinese_activities_field	event_various_systems	details_social_biomedical	invited_year_more	series_establishment_development	speakers_more_project	members_held_information	amp_projects_molecular	development_many_sciences	http_society_including	opening_university_physics	local_including_projects	today_family_years	exchange_alumni_world	first_chinese_analysis	please_guests_awarded	challenges_gratitude_computing	organized_professional_medicine	experts_new_scholars	forum_efforts_important	knowledge_outstanding_international	promote_amp_chemistry	social_promoting_software	economic_commitment_scientist	views_past_materials	global_appreciation_many	community_teaching_awards	session_contribution_laboratory	symposium_donations_technologies	campus_set_fields	different_serving_leading	keynote_student_spatial	experience_people_researchers	other_first_outstanding	research_recognition_computer
cu0001	CUHK	2010	0.735448658466339	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167229041457176	0	0	0	0	0	0	0	0.0203719791024923	0	0	0	0	0	0.0135766975581646	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0365050621330738	0	0.012695481069386	0	0	0	0	0
cu0006	CUHK	2010	0	0	0.452028572559357	0	0.100441709160805	0	0	0	0	0	0	0	0	0.130925953388214	0	0	0.0135918073356152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199335113167763	0.0887938812375069	0	0	0	0	0	0	0	0	0	0	0
cu0009	CUHK	2010	0	0	0	0	0.0925397351384163	0	0.0433162190020084	0	0	0	0	0	0	0	0.0471660122275353	0.0225632563233376	0.0711673945188522	0	0	0	0	0	0	0	0	0	0	0.0333202295005321	0	0	0.0329253822565079	0	0.0582096986472607	0	0.0435443855822086	0	0	0	0	0	0	0	0	0	0	0	0.0631277486681938	0.480912119150162	0	0
cu0013	CUHK	2010	0	0.0427574999630451	0	0	0.314509898424149	0	0	0.0755959525704384	0	0	0	0	0	0.553604543209076	0	0	0	0	0	0	0	0	0	0	0	0.0100968787446618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0014	CUHK	2010	0	0.268197655677795	0	0	0	0	0	0.204808875918388	0	0	0	0	0	0.0418278723955154	0	0	0	0	0	0	0	0	0	0.12243690341711	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353914052248001	0	0	0	0	0	0	0	0	0	0	0	0
cu0017	CUHK	2010	0.346867978572845	0	0	0.275673717260361	0	0	0	0	0	0	0	0	0	0	0.091310977935791	0	0	0	0	0.183264046907425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750931277871132	0	0.013751745223999	0	0	0	0	0
cu0018	CUHK	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173175096511841	0	0	0	0	0	0	0	0.820862054824829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0020	CUHK	2010	0	0.446228623390198	0.0727438852190971	0	0	0	0	0	0.0140138007700443	0.0391721576452255	0	0	0	0.0430206656455994	0	0	0.0208697617053986	0	0	0	0	0	0.0110192690044642	0	0	0	0	0	0	0	0.0245899651199579	0	0	0	0	0	0	0.226454764604568	0.0236757807433605	0.0198536030948162	0	0.0219705458730459	0	0	0	0	0	0	0.0236811023205519	0
cu0021	CUHK	2010	0	0	0	0.0410165302455425	0	0	0	0	0	0	0.0695536211133003	0	0	0	0	0	0	0	0	0	0	0.335249125957489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224627450108528	0.0858105942606926	0	0	0	0	0	0	0	0	0	0.227241903543472	0	0
cu0026	CUHK	2010	0	0	0.0761849209666252	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228184148669243	0	0	0	0.148470550775528	0	0	0	0.255136460065842	0	0	0	0	0	0.207058563828468	0	0	0	0	0	0	0	0	0	0	0	0	0.0456354320049286	0.0344761051237583	0	0	0	0	0
cu0027	CUHK	2010	0	0	0	0	0	0	0.677036166191101	0	0	0	0	0	0	0	0	0	0.0581466741859913	0	0	0	0	0	0.0179930403828621	0	0.0730486735701561	0	0	0	0	0	0.04850909486413	0	0	0	0.111839808523655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
