N	measure_1	measure_2	test_statistic	pvalue
10	Zeta_orig	Zeta_orig	0.0	1.0
10	Zeta_orig	Zeta_log	-0.7762246566501091	0.4476965474563247
10	Zeta_orig	RRF	10.045004554335419	8.33425105229665e-09
10	Zeta_orig	Eta	1.1218773150585535	0.276658000439983
10	Zeta_orig	Welch	2.261275989859253	0.03636148784271657
10	Zeta_orig	Wilcoxon	2.052219160000919	0.05498337817426687
10	Zeta_orig	KLD	6.449423598807297	4.549248974838158e-06
10	Zeta_orig	χ2	6.292191369246038	6.229524494823487e-06
10	Zeta_orig	LLR	3.439965049127263	0.0029210229223915977
10	Zeta_orig	TF-IDF	1.7950928526445984	0.08944892164008911
10	Zeta_log	Zeta_orig	0.7762246566501091	0.4476965474563247
10	Zeta_log	Zeta_log	0.0	1.0
10	Zeta_log	RRF	10.393740846486185	4.913359306980706e-09
10	Zeta_log	Eta	1.827701099909759	0.08422001544626617
10	Zeta_log	Welch	2.9181747724037828	0.009177727203364008
10	Zeta_log	Wilcoxon	2.6324596926747255	0.016903456800131885
10	Zeta_log	KLD	6.8056810741896046	2.259281764686993e-06
10	Zeta_log	χ2	6.753192611309252	2.5019947379083727e-06
10	Zeta_log	LLR	4.007743192150976	0.0008254705474959956
10	Zeta_log	TF-IDF	2.3743686285078685	0.02890575971912909
10	RRF	Zeta_orig	-10.045004554335419	8.33425105229665e-09
10	RRF	Zeta_log	-10.393740846486185	4.913359306980706e-09
10	RRF	RRF	0.0	1.0
10	RRF	Eta	-8.839938361760908	5.748321379477612e-08
10	RRF	Welch	-7.829948014038117	3.323470431878678e-07
10	RRF	Wilcoxon	-6.788997229706507	2.333667392144993e-06
10	RRF	KLD	-0.22775916128455506	0.8224005617659792
10	RRF	χ2	-3.168826001388524	0.005314228900505604
10	RRF	LLR	-6.064203724775079	9.884002105549054e-06
10	RRF	TF-IDF	-6.897398531003771	1.8920094852072593e-06
10	Eta	Zeta_orig	-1.1218773150585535	0.276658000439983
10	Eta	Zeta_log	-1.827701099909759	0.08422001544626617
10	Eta	RRF	8.839938361760908	5.748321379477612e-08
10	Eta	Eta	0.0	1.0
10	Eta	Welch	1.108503063807151	0.2822367917201528
10	Eta	Wilcoxon	1.0810599890980246	0.2939422305857616
10	Eta	KLD	5.73277779081083	1.9569588782841728e-05
10	Eta	χ2	5.201004298851643	6.0213964598416056e-05
10	Eta	LLR	2.363974877606884	0.02952641003835496
10	Eta	TF-IDF	0.8461250094108861	0.4085911481102774
10	Welch	Zeta_orig	-2.261275989859253	0.03636148784271657
10	Welch	Zeta_log	-2.9181747724037828	0.009177727203364008
10	Welch	RRF	7.829948014038117	3.323470431878678e-07
10	Welch	Eta	-1.108503063807151	0.2822367917201528
10	Welch	Welch	0.0	1.0
10	Welch	Wilcoxon	0.13289285063632797	0.8957525005602291
10	Welch	KLD	5.062789758523442	8.106037967277139e-05
10	Welch	χ2	4.221266167053157	0.0005133883368095725
10	Welch	LLR	1.347995389439723	0.19438078693972785
10	Welch	TF-IDF	-0.08606381068587443	0.9323658087785666
10	Wilcoxon	Zeta_orig	-2.052219160000919	0.05498337817426687
10	Wilcoxon	Zeta_log	-2.6324596926747255	0.016903456800131885
10	Wilcoxon	RRF	6.788997229706507	2.333667392144993e-06
10	Wilcoxon	Eta	-1.0810599890980246	0.2939422305857616
10	Wilcoxon	Welch	-0.13289285063632797	0.8957525005602291
10	Wilcoxon	Wilcoxon	0.0	1.0
10	Wilcoxon	KLD	4.674931229528216	0.00018853069414064393
10	Wilcoxon	χ2	3.6180467160689376	0.0019666319567323933
10	Wilcoxon	LLR	1.0568690166217563	0.30455011916737346
10	Wilcoxon	TF-IDF	-0.19328732513093252	0.8488982554655334
10	KLD	Zeta_orig	-6.449423598807297	4.549248974838158e-06
10	KLD	Zeta_log	-6.8056810741896046	2.259281764686993e-06
10	KLD	RRF	0.22775916128455506	0.8224005617659792
10	KLD	Eta	-5.73277779081083	1.9569588782841728e-05
10	KLD	Welch	-5.062789758523442	8.106037967277139e-05
10	KLD	Wilcoxon	-4.674931229528216	0.00018853069414064393
10	KLD	KLD	0.0	1.0
10	KLD	χ2	-2.0464431536832097	0.05560327721126433
10	KLD	LLR	-4.035789805244036	0.000775493813650138
10	KLD	TF-IDF	-4.786249885891452	0.00014776783929210447
10	χ2	Zeta_orig	-6.292191369246038	6.229524494823487e-06
10	χ2	Zeta_log	-6.753192611309252	2.5019947379083727e-06
10	χ2	RRF	3.168826001388524	0.005314228900505604
10	χ2	Eta	-5.201004298851643	6.0213964598416056e-05
10	χ2	Welch	-4.221266167053157	0.0005133883368095725
10	χ2	Wilcoxon	-3.6180467160689376	0.0019666319567323933
10	χ2	KLD	2.0464431536832097	0.05560327721126433
10	χ2	χ2	0.0	1.0
10	χ2	LLR	-2.734051436091825	0.013627939802112946
10	χ2	TF-IDF	-3.767072944731256	0.0014112269464220263
10	LLR	Zeta_orig	-3.439965049127263	0.0029210229223915977
10	LLR	Zeta_log	-4.007743192150976	0.0008254705474959956
10	LLR	RRF	6.064203724775079	9.884002105549054e-06
10	LLR	Eta	-2.363974877606884	0.02952641003835496
10	LLR	Welch	-1.347995389439723	0.19438078693972785
10	LLR	Wilcoxon	-1.0568690166217563	0.30455011916737346
10	LLR	KLD	4.035789805244036	0.000775493813650138
10	LLR	χ2	2.734051436091825	0.013627939802112946
10	LLR	LLR	0.0	1.0
10	LLR	TF-IDF	-1.2450099753044697	0.22909374300510943
10	TF-IDF	Zeta_orig	-1.7950928526445984	0.08944892164008911
10	TF-IDF	Zeta_log	-2.3743686285078685	0.02890575971912909
10	TF-IDF	RRF	6.897398531003771	1.8920094852072593e-06
10	TF-IDF	Eta	-0.8461250094108861	0.4085911481102774
10	TF-IDF	Welch	0.08606381068587443	0.9323658087785666
10	TF-IDF	Wilcoxon	0.19328732513093252	0.8488982554655334
10	TF-IDF	KLD	4.786249885891452	0.00014776783929210447
10	TF-IDF	χ2	3.767072944731256	0.0014112269464220263
10	TF-IDF	LLR	1.2450099753044697	0.22909374300510943
10	TF-IDF	TF-IDF	0.0	1.0
20	Zeta_orig	Zeta_orig	0.0	1.0
20	Zeta_orig	Zeta_log	-0.8486748712841505	0.40720747689461223
20	Zeta_orig	RRF	8.19737244611064	1.7290123472965112e-07
20	Zeta_orig	Eta	1.1789953741636268	0.25375021366583855
20	Zeta_orig	Welch	0.4388900976933783	0.6659640104588216
20	Zeta_orig	Wilcoxon	1.0167590673111768	0.32274075676377845
20	Zeta_orig	KLD	3.4295054363115405	0.0029895448456973917
20	Zeta_orig	χ2	2.6788218846609615	0.015324989462658386
20	Zeta_orig	LLR	1.870151997579892	0.07781598595393183
20	Zeta_orig	TF-IDF	0.9831851328159288	0.3385480450925945
20	Zeta_log	Zeta_orig	0.8486748712841505	0.40720747689461223
20	Zeta_log	Zeta_log	0.0	1.0
20	Zeta_log	RRF	9.553263387043923	1.7959732096318337e-08
20	Zeta_log	Eta	2.298701435200094	0.03371663309571315
20	Zeta_log	Welch	1.5119391936930897	0.147907562907002
20	Zeta_log	Wilcoxon	1.887692534085808	0.07529790422376152
20	Zeta_log	KLD	4.204879043393401	0.0005324169413025318
20	Zeta_log	χ2	3.5790835600421333	0.002144686542850694
20	Zeta_log	LLR	3.058302240301519	0.006768724036767036
20	Zeta_log	TF-IDF	1.7830542255124577	0.09144988377634733
20	RRF	Zeta_orig	-8.19737244611064	1.7290123472965112e-07
20	RRF	Zeta_log	-9.553263387043923	1.7959732096318337e-08
20	RRF	RRF	0.0	1.0
20	RRF	Eta	-7.8510815870806985	3.199339135128963e-07
20	RRF	Welch	-8.719890401748534	7.033736086408083e-08
20	RRF	Wilcoxon	-6.861388848188401	2.0282151319299014e-06
20	RRF	KLD	-3.1989562702906817	0.004973888860347315
20	RRF	χ2	-4.813636659888224	0.0001391936383467936
20	RRF	LLR	-7.173855194292029	1.1160614419792472e-06
20	RRF	TF-IDF	-6.488890293617007	4.2062882484776e-06
